Name,Position,PositionRank,ProjectedPoints,ByeWeek
Ja'Marr Chase,WR,1,21.31,12
Justin Jefferson,WR,2,19.55,6
Saquon Barkley,RB,2,20.31,5
Jahmyr Gibbs,RB,1,19.78,5
Amon-Ra St. Brown,WR,3,18.06,5
Lamar Jackson,QB,1,21.68,14
Bijan Robinson,RB,3,20.61,12
CeeDee Lamb,WR,8,18.95,7
Josh Allen,QB,2,21.48,12
Derrick Henry,RB,4,18.69,14
Malik Nabers,WR,6,17.66,11
A.J. Brown,WR,20,17.01,5
Brock Bowers,TE,1,15.74,10
Puka Nacua,WR,26,18.67,6
Jayden Daniels,QB,5,21.84,
George Kittle,TE,3,13.49,9
Jalen Hurts,QB,8,22.04,5
Nico Collins,WR,23,16.61,14
Christian McCaffrey,RB,69,19.53,9
Trey McBride,TE,2,15.51,11
Josh Jacobs,RB,6,18.04,10
Jonathan Taylor,RB,12,18.14,14
Joe Burrow,QB,3,19.78,12
Brian Thomas Jr.,WR,4,16.2,12
De'Von Achane,RB,5,18.93,6
Bucky Irving,RB,13,17.93,11
Tee Higgins,WR,17,16.37,12
James Cook,RB,8,17.63,12
Drake London,WR,5,16.18,12
Joe Mixon,RB,17,17.23,14
Jake Bates,K,7,8.65,5
Terry McLaurin,WR,7,14.91,
Davante Adams,WR,11,16.54,6
Sam LaPorta,TE,8,12.2,5
Xavier Worthy,WR,33,15.89,6
Kyren Williams,RB,7,17.82,6
Tyreek Hill,WR,18,15.85,6
Ravens D/ST,D/ST,10,7.28,14
Ladd McConkey,WR,12,14.86,5
Mike Evans,WR,14,14.59,11
Texans D/ST,D/ST,4,7.55,14
Alvin Kamara,RB,9,17.21,12
Jaxon Smith-Njigba,WR,9,14.7,10
Breece Hall,RB,16,16.15,12
DJ Moore,WR,16,15.48,7
Garrett Wilson,WR,10,14.27,12
Chase McLaughlin,K,5,8.57,11
DK Metcalf,WR,32,14.15,9
Kenneth Walker III,RB,27,16.9,10
Eagles D/ST,D/ST,5,6.67,5
Marvin Harrison Jr.,WR,30,14.16,11
Cameron Dicker,K,3,8.44,5
Travis Kelce,TE,5,12.58,6
Zay Flowers,WR,25,13.95,14
David Montgomery,RB,18,15.59,5
Ashton Jeanty,RB,0,18.85,10
Patrick Mahomes,QB,12,19.41,6
Chuba Hubbard,RB,14,15.64,11
Broncos D/ST,D/ST,1,6.61,14
James Conner,RB,11,15.95,11
Brandon Aubrey,K,2,8.33,7
Jerry Jeudy,WR,12,13.45,10
Chase Brown,RB,10,14.55,12
Baker Mayfield,QB,4,18.2,11
Courtland Sutton,WR,15,13.68,14
Travis Hunter,WR,0,13.06,12
Mark Andrews,TE,6,11.02,14
D'Andre Swift,RB,19,15.21,7
DeVonta Smith,WR,27,13.47,5
Chris Godwin,WR,53,15.05,11
George Pickens,WR,42,14.03,7
T.J. Hockenson,TE,34,11.84,6
Packers D/ST,D/ST,3,6.58,10
David Njoku,TE,11,11.68,10
Jameson Williams,WR,22,13.27,5
Jaylen Waddle,WR,46,13.49,6
Cooper Kupp,WR,38,12.78,10
Brock Purdy,QB,13,18.29,9
Aaron Jones,RB,14,14.12,6
Jordan Addison,WR,21,13.2,6
Bo Nix,QB,7,17.58,14
Calvin Ridley,WR,28,13.67,5
Isiah Pacheco,RB,64,13.22,6
Deebo Samuel Sr.,WR,44,12.46,
Rashee Rice,WR,100,16.87,6
Chris Olave,WR,94,13.2,12
Jonnu Smith,TE,4,10.59,6
Tony Pollard,RB,21,14.19,5
Omarion Hampton,RB,0,16.1,5
Kyler Murray,QB,10,17.94,11
Rhamondre Stevenson,RB,28,12.85,14
Stefon Diggs,WR,64,13.13,14
Khalil Shakir,WR,37,13.13,12
Jason Sanders,K,5,8.26,6
Justin Herbert,QB,11,16.85,5
Vikings D/ST,D/ST,2,6.54,6
Jakobi Meyers,WR,19,12.76,10
Jake Elliott,K,13,8.28,5
Rome Odunze,WR,49,12.69,7
Jauan Jennings,WR,24,12.92,9
Evan Engram,TE,33,10.09,14
Tyrone Tracy Jr.,RB,26,12.31,11
Brian Robinson Jr.,RB,29,12.63,
Tetairoa McMillan,WR,0,12.96,11
Jaylen Warren,RB,39,13.89,9
Jared Goff,QB,6,15.88,5
Tucker Kraft,TE,10,9.55,10
Keon Coleman,WR,71,12.04,12
Javonte Williams,RB,30,13.67,7
Quinshon Judkins,RB,0,14.25,10
Travis Etienne Jr.,RB,35,10.65,12
Dallas Goedert,TE,27,9.63,5
Austin Ekeler,RB,34,13.33,
Dalton Kincaid,TE,30,9.23,12
Steelers D/ST,D/ST,6,6.21,9
Caleb Williams,QB,16,16.54,7
Najee Harris,RB,20,8.04,5
Patriots D/ST,D/ST,30,7.01,14
Michael Pittman Jr.,WR,41,10.8,14
Hollywood Brown,WR,146,11.14,6
Harrison Butker,K,28,8.15,6
Rashid Shaheed,WR,92,12.23,12
Jayden Reed,WR,29,11.23,10
Rachaad White,RB,22,10.68,11
Seahawks D/ST,D/ST,7,6.57,10
RJ Harvey,RB,0,14.77,14
Adam Thielen,WR,52,11.27,11
Tank Bigsby,RB,36,8.89,12
Ricky Pearsall,WR,82,12.04,9
Tyler Bass,K,9,8.28,12
Matthew Golden,WR,0,12.87,10
Justin Fields,QB,31,17.62,12
Zach Charbonnet,RB,25,9.81,10
Chris Boswell,K,1,7.97,9
Drake Maye,QB,22,16.23,14
Tyjae Spears,RB,42,10.36,5
Brandon Aiyuk,WR,105,13.89,9
Jake Ferguson,TE,25,9.44,7
TreVeyon Henderson,RB,0,12.45,14
Kaleb Johnson,RB,0,13.37,9
Dolphins D/ST,D/ST,20,6.33,6
Josh Downs,WR,35,9.93,14
Colston Loveland,TE,0,9.31,7
Tyler Warren,TE,0,8.68,14
Cairo Santos,K,25,8.18,7
Cam Skattebo,RB,0,10.61,11
J.J. McCarthy,QB,0,16.84,6
Jordan Love,QB,17,15.71,10
C.J. Stroud,QB,18,16.17,14
Jordan Mason,RB,41,8.63,6
Cam Ward,QB,0,15.19,5
Dak Prescott,QB,32,16.86,7
Kareem Hunt,RB,31,7.97,6
Emeka Egbuka,WR,0,9.34,11
Christian Kirk,WR,95,8.76,14
J.K. Dobbins,RB,24,0.0,
Isaac Guerendo,RB,48,8.61,9
Marvin Mims Jr.,WR,57,10.66,14
Ka'imi Fairbairn,K,4,8.05,14
Jets D/ST,D/ST,18,6.03,12
Keenan Allen,WR,34,0.0,
Kyle Pitts,TE,15,8.39,12
Lions D/ST,D/ST,12,5.5,5
Jerome Ford,RB,33,6.2,10
Trey Benson,RB,70,8.49,11
Justin Tucker,K,12,0.0,
Tyler Allgeier,RB,43,8.7,12
Jaydon Blue,RB,0,5.84,7
Darnell Mooney,WR,31,10.91,12
Jack Bech,WR,0,10.21,10
Blake Corum,RB,80,6.3,6
Jalen McMillan,WR,55,6.9,11
Cedric Tillman,WR,90,10.42,10
Bhayshul Tuten,RB,0,5.11,12
